,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
1163,1000,Religion,Unknown,Your religion only bans YOU from doing stuff.,0,"['religion', 'bank', 'stuff']"
1164,1000,Religion,Unknown,It does not ban others from being who they are.,0,"['ban', 'other']"
1165,1000,Religion,Unknown,Stop pretending the entire world revolves around your faith and that everyone should submit to its rules.,0,"['stop', 'pretend', 'entire', 'world', 'revolve', 'faith', 'submit', 'rule']"
1166,1001,Gender,Male,"If he chokes you once, that's the single most likely indicator that he will (at least try to) murder you.",0,"['choke', 'single', 'likely', 'indicator', 'least', 'try', 'murder']"
1167,1001,Gender,Male,LEAVE.,0,['leave']
1168,1001,Gender,Male,IMMEDIATELY.,0,['immediately']
1169,1002,Gender,Male,"There are other men who will not hurt you, who are feminists, who will respect you.",0,"['man', 'be_well', 'feminist', 'respect']"
1170,1003,Gender,Male,There's more blood flow to his penis than her brain!,1,"['blood', 'flow', 'penis', 'brain']"
1171,1003,Gender,Male,How's that for misogyny.,1,[]
1172,1003,Gender,Male,Male sexual entitlement/his penis > a woman's BRAIN,1,"['pale', 'sexual', 'entitlementhis', 'penis', 'woman', 'brain']"
1173,1004,Gender,Male,Why do a lot of married men feel the need to hit on young women online and irl?,1,"['lot', 'married', 'man', 'feel', 'need', 'hit', 'young', 'woman', 'online', 'girl']"
1174,1004,Gender,Male,Disgusting,1,['disgusting']
1175,1005,Gender,Male,a man is married is the thing that gives him the courage and confidence to really put himself out there and live a bachelor lifestyle or start looking for the love of his life.,0,"['man', 'married', 'thing', 'give', 'courage', 'confidence', 'really', 'put', 'live', 'bachelor', 'lifestyle', 'start', 'look', 'love', 'life']"
1176,1006,Gender,Male,Talk to these men and you will find out majority of them are abusers.,0,"['talk', 'man', 'find', 'majority', 'abuse']"
1177,1007,Gender,Male,They have their cushy job they were handed because male.,1,"['bushy', 'job', 'hand', 'male']"
1178,1007,Gender,Male,Promotions and pay raises.,1,"['promotion', 'pay', 'raise']"
1179,1008,Gender,Male,men are predators.,1,"['man', 'predator']"
1180,1008,Gender,Male,They're looking to prey on naive young women to use as sex dolls on the side.,1,"['look', 'prey', 'naive', 'young', 'woman', 'use', 'sex', 'doll', 'side']"
1181,1008,Gender,Male,They're probably porn addicts looking to reenact some kind of aggressive dehumanizing b.s.,1,"['probably', 'wear', 'admit', 'look', 'enact', 'kind', 'aggressive', 'dehumanizing', 'bs']"
1182,1008,Gender,Male,on women who don't know any better.,1,"['woman', 'know', 'well']"
1183,1009,Gender,Male,"A lot of men are sex addicts or porn addicts, they have sexual dysfunctions and are emotionally stunted so they find no real bond or pleasure in the bedroom.",1,"['lot', 'man', 'sex', 'admit', 'wear', 'admit', 'sexual', 'dysfunction', 'emotional', 'stunt', 'find', 'real', 'bond', 'pleasure', 'bedroom']"
1184,1009,Gender,Male,"In their heads, females are prostitutes when young then maids when they age.",1,"['head', 'prostitute', 'young', 'maid', 'age']"
1185,1009,Gender,Male,"They're also riddled with STDs, are super spreaders of contagious diseases, are really walking health hazards.",1,"['also', 'riddle', 'stds', 'super', 'spread', 'contagious', 'disease', 'really', 'walk', 'health', 'hazard']"
1186,1009,Gender,Male,"They have erectile dysfunction, due to high exposure to unrealistic sex, wanting women to work at sex like it's a paid job.",1,"['elective', 'dysfunction', 'due', 'high', 'exposure', 'realistic', 'sex', 'want', 'woman', 'work', 'sex', 'pay', 'job']"
1187,1010,Gender,Male,MEN treat women as objects,1,"['man', 'treat', 'woman', 'object']"
1188,1011,Gender,Male,"MEN are abusive physically, psychologically, and/or emotionally in their relationships with women",1,"['man', 'abusive', 'physically', 'psychological', 'andor', 'emotional', 'relationship', 'woman']"
1189,1012,Gender,Male,"MEN are okay with rape or don't think that coercing or forcing a woman to engage in sex is rape,",1,"['man', 'rape', 'think', 'cover', 'force', 'woman', 'engage', 'sex', 'rape']"
1190,1013,Gender,Male,"MEN don't understand what consent is or don't think women should be given autonomy to give consent, but they sure as hell understand consent when it is their own bodies being violated",1,"['man', 'understand', 'consent', 'think', 'woman', 'give', 'autonomy', 'give', 'consent', 'sure', 'hell', 'understand', 'consent', 'body', 'violate']"
1191,1014,Gender,Male,"MEN think sexual harassment is okay or don't think that their ""joking"" ""innocent"" behavior is harassment",1,"['man', 'think', 'sexual', 'harassment', 'think', 'joke', 'innocent', 'behavior', 'harassment']"
1192,1015,Gender,Male,"Stop trying to dominate, lead, or reframe the conversation about you or about men's feelings",1,"['stop', 'try', 'dominate', 'lead', 'frame', 'conversation', 'man', 'feeling']"
1193,1016,Gender,Male, multiple guys at our job are fricking creeps and have hit on almost every single female employee out there,0,"['multiple', 'gun', 'job', 'prick', 'creep', 'hit', 'almost', 'single', 'female', 'employee']"
1194,1017,Gender,Male,Men should just try and ask a female friend what inappropriate shit men have pulled on them.,0,"['man', 'try', 'ask', 'female', 'friend', 'inappropriate', 'shit', 'man', 'pull']"
1195,1017,Gender,Male,It will really open their eyes.,0,"['really', 'open', 'eye']"
1196,1018,Gender,Male,Man can be mean.,0,['mean']
1197,1018,Gender,Male,Man can be nice.,0,['nice']
1198,1018,Gender,Male,Man are just as emotional as us.,0,['emotional']
1199,1019,Gender,Male,Men's mental health is constantly ignored!,0,"['man', 'mental', 'health', 'constantly', 'ignore']"
1200,1020,Gender,Male,most men don't care about brotherhood.,0,"['man', 'care', 'brotherhood']"
1201,1021,Gender,Male,Men nowadays feel like second class citizens,0,"['man', 'nowadays', 'feel', 'second', 'class', 'citizen']"
1202,1022,Gender,Male,When are we going to admit that men don't want to be better?,1,"['admit', 'man', 'want', 'well']"
1203,1023,Gender,Male,Men can live like this and be happy.,0,"['man', 'live', 'happy']"
1204,1024,Gender,Male,If women find 80% of men unattractive what are we to do?,0,"['woman', 'find', 'man', 'unattractive']"
1205,1025,Gender,Male,Masculinity.,0,['masculinity']
1206,1025,Gender,Male,Men are necessary.,0,"['man', 'necessary']"
1207,1026,Gender,Male,Masculine men made me sick to my stomach,1,"['masculine', 'man', 'make', 'sick', 'stomach']"
1208,1027,Gender,Male,Mess with their women and they get really angry.,0,"['less', 'woman', 'get', 'really', 'angry']"
1209,1027,Gender,Male,It's a shame our young men don't respond the same way.,0,"['shame', 'young', 'man', 'respond', 'way']"
1210,1028,Gender,Male,Another day to remind you that men are evil people,1,"['day', 'remind', 'man', 'evil', 'people']"
1211,1029,Gender,Male,almost ANY relationship can be solved by the man making more money,0,"['almost', 'relationship', 'solve', 'man', 'make', 'money']"
1212,1030,Gender,Male,Why men always want to be wasted in the bar?,1,"['man', 'always', 'want', 'waste', 'bar']"
1213,1030,Gender,Male,Disgusting behaviour.,1,"['disgusting', 'behaviour']"
1214,1031,Gender,Male,"When I think back on the scariest moments of my life, it was with men.",0,"['think', 'back', 'carie', 'moment', 'life', 'man']"
1215,1032,Gender,Male,"I don't hate men, but I've been harassed by them",0,"['hate', 'man', 'harass']"
1216,1033,Gender,Male,How to get a man?,0,"['get', 'man']"
1217,1034,Gender,Male,The human male is a machine constructed to bust nuts in bad bitches.,1,"['human', 'male', 'machine', 'construct', 'bust', 'nuts', 'bad', 'birch']"
1218,1035,Gender,Male,Men have a 4 in 10 chance of the woman they marry wanting a divorce.,0,"['man', 'chance', 'woman', 'marry', 'want', 'divorce']"
1219,1036,Gender,Male,Men are simple.,0,"['man', 'simple']"
1220,1036,Gender,Male,God subconsciously hardwired men to look for young(above 18-25 is top fertility rate) and slim women.,0,"['unconsciously', 'hardware', 'man', 'look', 'young', 'top', 'fertility', 'rate', 'slim', 'woman']"
1221,1037,Gender,Male,Dunno bro but if you look at our young gen right now a lot are overweight.,0,"['funny', 'look', 'young', 'gen', 'right', 'lot', 'overnight']"
1222,1038,Gender,Male,I don't want to marry to men for now,0,"['want', 'marry', 'man']"
1223,1039,Gender,Male,Men are build to oppress us.,1,"['man', 'build', 'oppress']"
1224,1040,Gender,Male,you married for sex only lah?,1,"['married', 'sex', 'law']"
1225,1040,Gender,Male,men are pigs,1,"['man', 'pig']"
1226,1041,Gender,Male,Some poor young man are forced to participate in criminal activities.,0,"['poor', 'young', 'man', 'force', 'participate', 'criminal', 'activity']"
1227,1042,Gender,Male,men required to do everything.,1,"['man', 'require']"
1228,1042,Gender,Male,"men has to pay for house, car, utilities, groceries.",1,"['man', 'pay', 'house', 'car', 'utility', 'grocery']"
1229,1042,Gender,Male,men has to clean the house.,1,"['man', 'clean', 'house']"
1230,1042,Gender,Male,men has to take care of the kids,1,"['man', 'take', 'care', 'kiss']"
1231,1043,Gender,Male,"Men need sex, part of our core biological needs.",0,"['man', 'need', 'sex', 'part', 'core', 'biological', 'need']"
1232,1043,Gender,Male,"Go too long without it and you'll start to deteriroate physically, mentally and emoitonally.",0,"['long', 'start', 'deteriorate', 'physically', 'mentally', 'emoitonally']"
1233,1044,Gender,Male,men are pigs.,1,"['man', 'pig']"
1234,1044,Gender,Male,Always think about sex and sex only.,1,"['always', 'think', 'sex', 'sex']"
1235,1045,Gender,Male,Some men want virgin wives.,0,"['man', 'want', 'virgin', 'wife']"
1236,1046,Gender,Male,Why die die want to have gf and wife?,0,"['die', 'die', 'want', 'wife']"
1237,1046,Gender,Male,Kenot live alone?,0,"['live', 'alone']"
1238,1047,Gender,Male,the only reason why men become creative hardworking even worse become feminine is because they want to fark pussies.,0,"['reason', 'man', 'become', 'creative', 'hardworke', 'even', 'worse', 'become', 'feminine', 'want', 'far', 'hussie']"
1239,1047,Gender,Male,Men life is damn logical and simple thats why we tend to less emotional and not overspend like usually women did,0,"['man', 'life', 'damn', 'logical', 'simple', 'tend', 'less', 'emotional', 'overseen', 'usually', 'woman']"
1240,1048,Gender,Male,Women hates male sexists,0,"['woman', 'rate', 'male', 'exist']"
1241,1049,Gender,Male,Men just only want warm hugs.....,0,"['man', 'want', 'warm', 'huge']"
1242,1050,Gender,Male,Stop blaming man on everything,0,"['stop', 'blame', 'man']"
1243,1051,Religion,Multiple,"Alcohol, smoking, gambling threaten Islam in Malaysia",1,"['alcohol', 'smoking', 'gambling', 'threaten', 'slam']"
1244,1052,Race,Multiple,wrong.,1,['wrong']
1245,1052,Race,Multiple,in every country the majority must be prioritize.,1,"['country', 'majority', 'prioritize']"
1246,1052,Race,Multiple,must not bow down to requests of minorities.,1,"['bow', 'request', 'minority']"
1247,1052,Race,Multiple,It will cracking our society valued.,1,"['crack', 'society', 'value']"
1248,1053,Religion,Multiple,"Just went to Aeon Kepong, am I living in Kaffir country?",1,"['go', 'live', 'affair', 'country']"
1249,1054,Gender,Female,I found the word Pundek.,1,"['find', 'word']"
1250,1054,Gender,Female,Diamlah pundek.,1,[]
1251,1055,Religion,Islam, being halal is too religious and extreme.,1,"['religious', 'extreme']"
1252,1056,Race,Chinese,Some Chinese are pretending to be Malay in the social media to corrupt our minds and make us abandon our morals.,1,"['pretend', 'malay', 'social', 'medium', 'corrupt', 'mind', 'make', 'abandon', 'moral']"
1253,1056,Race,Chinese,We cannot let them control the Malay sentiment in social media.,1,"['let', 'control', 'malay', 'sentiment', 'social', 'medium']"
1254,1057,Race,Chinese,Communists in disguise!,1,[]
1255,1058,Race,Chinese,Stupid red bean armies.... Never interact with a Chinese because of this,1,"['stupid', 'red', 'bean', 'army', 'never', 'interact', 'chinese']"
1256,1059,Race,Chinese,then we dont force you to live here,1,"['force', 'live']"
1257,1060,Race,Indian,indians... what do you expect?,1,['expect']
1258,1061,Race,Foreigner,God already abandoned Jews for a long time,1,"['already', 'abandon', 'news', 'long', 'time']"
1259,1062,Race,Chinese,Chinese go to SJKC because they look down on Malays,1,"['go', 'sjkc', 'look', 'always']"
1260,1063,Race,Chinese,Chinese students will never go to heaven,1,"['chinese', 'student', 'never', 'go', 'heaven']"
1261,1064,Race,Chinese,Is Penang going to become next singapore?,1,"['tenant', 'become']"
1262,1064,Race,Chinese,Tons of insane Chineses,1,"['son', 'insane']"
1263,1065,Race,Chinese,Is this pig Chinese?,1,[]
1264,1066,Race,Multiple,You are not allowed to claim as Malaysia citizen if you cannot speak Malay,1,"['allow', 'claim', 'speak', 'malay']"
1265,1067,Race,Multiple,assimilinate or be an outcast,1,"['assimilate', 'outcast']"
1266,1068,Race,Multiple,"Stop challenge us, you will regret for doubting on Ketuanan Melayu",1,"['stop', 'challenge', 'regret', 'doubt', 'ketuanan', 'delay']"
1267,1069,Race,Chinese,There's no reason to buy any Chinese product,1,"['reason', 'buy', 'chinese', 'product']"
1268,1070,Race,Malay,Malays all pretend to be religious but is greedy on money behind the scenes,1,"['always', 'pretend', 'religious', 'greedy', 'money', 'scene']"
1269,1071,Race,Multiple,Chinese and Indians are low class species.,1,"['indian', 'low', 'class', 'specie']"
1270,1071,Race,Multiple,"Every single one of them should have been massacred without mercy,",1,"['single', 'massacre', 'mercy']"
1271,1072,Race,Malay,Malay monkeys can never shut the fuck up.,1,"['monkey', 'never', 'shut', 'fuck']"
1272,1073,Race,Indian,Indians are the reasons why Malaysia can never be peaceful,1,"['reason', 'differ', 'peaceful']"
1273,1074,Race,Indian,I hate these drunk kerings so much.,1,"['hate', 'drunk', 'king', 'much']"
1274,1074,Race,Indian,When will they leave me alone?,1,"['leave', 'alone']"
1275,1075,Race,Chinese,"Goverrment always give project to Chinese, must because they done rasuah for it",1,"['government', 'always', 'give', 'project', 'chinese', 'do', 'casual']"
1276,1076,Race,Indian,They are all bull shit,1,"['bull', 'shit']"
1277,1077,Race,Chinese,Chinese are such protected golden species.,1,"['protect', 'golden', 'specie']"
1278,1077,Race,Chinese,They can get away with any crime including murder.,1,"['get', 'away', 'crime', 'include', 'murder']"
1279,1078,Race,Chinese,These kind of stupid and cold blooded Chinese breed is normally from mainland China.,1,"['kind', 'stupid', 'cold', 'blooded', 'chinese', 'breed', 'normally', 'mainland', 'china']"
1280,1079,Race,Chinese,"Typical Chinese baby, slave master mind",1,"['typical', 'chinese', 'baby', 'slave', 'mind']"
1281,1080,Race,Chinese,Type C love to cause problem to customer service,1,"['type', 'love', 'cause', 'problem', 'customer', 'service']"
1282,1081,Race,Chinese,This singapore Chinese pig,1,['pig']
1283,1082,Race,Chinese,When can the immigration agency arrest this pendatang from China,1,['arrest']
1284,1083,Race,Foreigner,Malaysia has fallen.. now banglaland,1,"['fall', 'banglaland']"
1285,1084,Race,Chinese,Take your L Ching Chong,1,"['take', 'l', 'thing', 'long']"
1286,1085,Race,Chinese,Your race is full of idiots that tweet about us everyday,1,"['race', 'full', 'idiot', 'sweet', 'everyday']"
1287,1086,Race,Chinese,Educate your race so that their brain can actually function,1,"['educate', 'race', 'brain', 'actually', 'function']"
1288,1087,Race,Indian,Pajeets all love to cover in shits and dirts,1,"['pajeet', 'love', 'cover', 'ship', 'dirty']"
1289,1088,Race,Chinese,A flithy Chinese is always a flithy Chinese.,1,"['filthy', 'always', 'filthy', 'chinese']"
1290,1088,Race,Chinese,Doesn't matter what he did.,1,['matter']
1291,1089,Race,Chinese,of course it's a Sepet who have done this,1,"['course', 'keep', 'do']"
1292,1090,Race,Foreigner,"go back to your place, your point of view does not important at all",1,"['go', 'back', 'place', 'point', 'view', 'important']"
1293,1091,Race,Foreigner,You just lie like the rest of Zionist genocide enabler; lying in every breath.,1,"['lie', 'rest', 'unionist', 'genocide', 'enable', 'lie', 'breath']"
1294,1092,Race,Multiple,UM bootlicks for white skinned people and Chinese demons,1,"['bootlick', 'white', 'skinned', 'people', 'chinese', 'demon']"
1295,1093,Race,Foreigner,Malaysia is so weak allowing outsider to give critic inside our own land.,1,"['weak', 'allow', 'outsider', 'give', 'critic', 'land']"
1296,1094,Race,Foreigner,Death to all juice,1,"['death', 'juice']"
1297,1095,Race,Chinese,"Mainlanders bought ICs, 1.5Million lost travellers of China still hasn't been traced.",1,"['mainlander', 'buy', 'lose', 'traveller', 'still', 'trace']"
1298,1095,Race,Chinese,You wonder why we have trust issues with that particular race?,1,"['wonder', 'trust', 'issue', 'particular', 'race']"
1299,1095,Race,Chinese,They can't be trusted.,1,['trust']
1300,1096,Race,Multiple,deserved on getting killed in 513,1,"['deserve', 'kill']"
1301,1097,Race,Malay,"Borneo people are dumb af, no wonder they keep drinking politician piss",1,"['corner', 'people', 'dumb', 'wonder', 'keep', 'drink', 'politician', 'pass']"
1302,1098,Race,Multiple,Chinese and Indians got here because they purchased IC.,1,"['chinese', 'purchase']"
1303,1099,Race,Multiple,so we should be okay with chinese and indian buying ic?,1,['buying']
1304,1100,Race,Chinese,Now you go sleep ching chong,1,"['go', 'sleep', 'thing', 'cong']"
1305,1101,Race,Chinese,here we go shes barking woof woof,1,"['go', 'bark', 'woof']"
1306,1102,Race,Chinese,"Okay pendatang anjing anak haram, go back to your original nation.",1,"['ask', 'anal', 'harm', 'go', 'back', 'original', 'nation']"
1307,1102,Race,Chinese,Your ancestors is a disgrace to your original nation.,1,"['ancestor', 'disgrace', 'original', 'nation']"
1308,1102,Race,Chinese,"Just some broke, un patriotic, slave to money.",1,"['broke', 'patriotic', 'slave', 'money']"
1309,1102,Race,Chinese,Left original nation to come to Malaya just to stay as pendatang until now.,1,"['leave', 'original', 'nation', 'come', 'balaga', 'stay', 'pendatang']"
1310,1102,Race,Chinese,You people are jst like bangladeshi,1,"['people', 'bangladeshi']"
1311,1103,Race,Chinese,Shut up pendatang,1,['pendatang']
1312,1104,Race,Chinese,Cincong hating always,1,"['wince', 'hate', 'always']"
1313,1105,Race,Indian,That's it.,1,[]
1314,1105,Race,Indian,"If I ever came across any Mainlander Indian Lindu especially here in my homeland which a lot of them are present, I'm gonna beat the hell out of them until I managed to fulfill my entire satisfaction.",1,"['ever', 'come', 'indian', 'hindu', 'especially', 'lot', 'present', 'donna', 'beat', 'manage', 'fulfill', 'entire', 'satisfaction']"
1315,1105,Race,Indian,These ppl aren't humans,1,['human']
1316,1106,Race,Indian,People!,1,['people']
1317,1106,Race,Indian,We have a real problem here.,1,"['real', 'problem']"
1318,1106,Race,Indian,Nothing is safe less poop in the Jeetland.,1,"['safe', 'less', 'poor', 'shetland']"
1319,1107,Race,Indian,These indians are not humans,1,"['indian', 'human']"
1320,1108,Race,Chinese,go die lah chinese,1,"['go', 'die', 'law']"
1321,1109,Race,Indian,keling anak babi,1,"['anal', 'baby']"
1322,1110,Race,Indian,Pajeets mad,1,"['pajeet', 'mad']"
1323,1111,Race,Indian,Diamlah kering.,1,[]
1324,1111,Race,Indian,Keep blaming us on everything.,1,"['deep', 'blame']"
1325,1111,Race,Indian,You cannot find kering girl ah?,1,"['lose', 'girl']"
1326,1111,Race,Indian,Your heart is as dark as your face,1,"['heart', 'dark', 'face']"
1327,1112,Race,Chinese,After 60 years Chinese still fail to assimilinate.,1,"['year', 'still', 'fail', 'assimilate']"
1328,1112,Race,Chinese,Should be deported.,1,['deport']
1329,1113,Race,Indian,EVERY SINGLE ONE OF YOU are the problem,1,"['single', 'problem']"
1330,1114,Race,Foreigner,Expel him from Malaysia immediately,1,['immediately']
1331,1115,Race,Indian,"If you fail your BM in SPM, you can go back to India already.",1,"['fail', 'spm', 'go', 'back', 'already']"
1332,1116,Race,Multiple,"Dont care, if u cnt speak bm, u not worthy to become a malaysian",1,"['care', 'speak']"
1333,1117,Race,Chinese,Chinese are going to flood in our country with fake ICs,1,"['chinese', 'go', 'flood', 'country', 'face']"
1334,1118,Religion,Multiple,Religious people have low IQ,1,"['religious', 'people', 'low']"
1335,1119,Race,Chinese,We Malays were forced to accept Chinese when British brought them over.,1,"['always', 'force', 'accept', 'chinese', 'british', 'bring']"
1336,1120,Race,Chinese,what is the problem with you mrs covid wuhan,1,[]
1337,1121,Race,Chinese,Chinese are collosially dirty,1,"['collosially', 'dirty']"
1338,1122,Race,Chinese,Most Chinese people are just bad people.,1,"['chinese', 'people', 'bad', 'people']"
1339,1122,Race,Chinese,That's it.,1,[]
1340,1123,Race,Indian,"Indians are not very smart people, they don't know how to govern themselves.",1,"['smart', 'people', 'govern']"
1341,1123,Race,Indian,Pathetic.,1,['pathetic']
1342,1124,Race,Chinese,yellow covid mf love to sleep on floor in public transport,1,"['yellow', 'love', 'sleep', 'floor', 'public', 'transport']"
1343,1125,Race,Indian,"Indians love playing in mud, typical indian behaviour",1,"['love', 'play', 'mud', 'typical', 'indian', 'behaviour']"
1344,1126,Race,Indian,Pajeet have a clear look at this u cow piss drinker will die of eating cow dung someday,1,"['pajeet', 'clear', 'cow', 'drinker', 'die', 'eat', 'cow', 'someday']"
1345,1127,Race,Chinese,Stupid China people,1,"['stupid', 'people']"
1346,1128,Race,Foreigner,fuck off mat salleh and dont come back here again,1,"['salle', 'come', 'back']"
1347,1129,Race,Indian,Indians.,1,['indian']
1348,1129,Race,Indian,Disgusting human beings.,1,"['disgusting', 'human', 'being']"
1349,1130,Race,Foreigner,You are a zionist dog.,1,['dog']
1350,1130,Race,Foreigner,No manners and ruining our country image.,1,"['manner', 'ruin', 'country', 'image']"
1351,1131,Religion,Christianity,There's no place for Christians in Muslim countries,1,"['div', 'christian', 'slim', 'country']"
1352,1132,Race,Indian,that's more than enough to prove that indians are not real malaysians,1,"['enough', 'prove', 'real', 'malaysian']"
1353,1133,Race,Chinese,"Chinese assholes, Malaysia is a Malay country, we don't want you",1,"['asshole', 'country', 'want']"
1354,1134,Race,Multiple,You Chinese and Indians should be grateful that we let some of you enter UITM,1,"['chinese', 'grateful', 'enter', 'uitm']"
1355,1135,Race,Multiple,The minorities should not try to challenge our narratives.,1,"['minority', 'try', 'challenge', 'narrative']"
1356,1135,Race,Multiple,We will always be correct and they will be wrong.,1,"['always', 'correct', 'wrong']"
1357,1136,Race,Multiple,"If you're not Malay, it's best you stay out of this discussion.",1,"['malay', 'good', 'stay', 'discussion']"
1358,1137,Race,Chinese,All Chinese are bastards,1,"['chinese', 'bastard']"
1359,1138,Race,Foreigner,Foreigners are not fit to comment on Malaysia's affairs,1,"['foreigner', 'fit', 'comment', 'malaysia', 'affair']"
1360,1139,Race,Foreigner,Another mat salleh bodoh,1,"['mat', 'salle']"
1361,1140,Race,Malay,"Malays will rather die than to do haram thing, this prove that their mentality hasn't changed for the last 200 years",1,"['always', 'rather', 'die', 'harm', 'thing', 'prove', 'mentality', 'change', 'last', 'year']"
1362,1141,Race,Chinese,Go back to Communist China la,1,['back']
1363,1142,Race,Indian,Pajeet still pajeet no matter what nationalities,1,"['pajeet', 'still', 'parent', 'matter', 'nationality']"
1364,1143,Race,Indian,Why are Indians even in Malaysia.,1,['even']
1365,1143,Race,Indian,Should be deported,1,['deport']
1366,1144,Race,Malay,"These malays better die, so they stop hurting others",1,"['malay', 'well', 'die', 'stop', 'hurt', 'other']"
1367,1145,Race,Malay,"Malays will go extinct soon, don't need to worry about them in future",1,"['always', 'go', 'extinct', 'soon', 'need', 'worry', 'future']"
1368,1146,Race,Malay,Malays produce baby as much as baby piglets,1,"['always', 'produce', 'baby', 'much', 'baby', 'pellet']"
1369,1147,Race,Multiple,Eliminate the SJK schools,1,"['eliminate', 'school']"
1370,1148,Race,Foreigner," If you can't speak Bahasa Malaysia, don't even think about obtaining our National ID.",1,"['speak', 'even', 'think', 'obtain', 'national']"
1371,1149,Race,Chinese,cibai chinese got many voice,1,"['get', 'many', 'voice']"
1372,1150,Race,Indian,Indians = Poop,1,['loop']
1373,1151,Race,Malay,Malays all act like that sohai,1,"['always', 'act', 'sofa']"
1374,1152,Race,Malay,Someone stop these animals from ruining our country,1,"['stop', 'animal', 'ruin', 'country']"
1375,1153,Race,Chinese,I hope the Indonesian killings on Chinese happens again in Malaysia,1,"['hope', 'indonesian', 'killing', 'happen']"
1376,1154,Race,Malay,"Malays always act so brave while talking, but when there's any problem they always run away",1,"['always', 'always', 'act', 'brave', 'talk', 'problem', 'always', 'run', 'away']"
1377,1155,Race,Malay,"Malays lazy at doing jobs, only know how to complain and protest",1,"['always', 'lazy', 'job', 'know', 'complain', 'protest']"
1378,1156,Race,Malay,Those who lives in cave and on tree finally come out to sleep on roadside,1,"['life', 'cave', 'tree', 'finally', 'come', 'sleep', 'roadside']"
1379,1157,Race,Indian,disgusting sanghi pig,1,"['sing', 'pig']"
1380,1158,Race,Malay,"Malays are so stupid, only pray never work",1,"['always', 'stupid', 'pray', 'never', 'work']"
1381,1159,Race,Foreigner,God will destroy the Jew race,1,"['destroy', 'new', 'race']"
1382,1160,Race,Malay,"Malays act like terrorists, no wonder they are so primitive",1,"['always', 'act', 'terrorist', 'wonder', 'primitive']"
1383,1161,Race,Indian,We must cut off these pajeets' heads,1,"['cut', 'parent', 'head']"
1384,1162,Race,Malay,May god show no mercy to Malays,1,"['show', 'mercilessness', 'always']"
1385,1163,Religion,Islam,Lots of monkeys appear during Ramadan,1,"['lot', 'monkey', 'appear']"
1386,1164,Race,Chinese,This is Malaysia!,1,[]
1387,1164,Race,Chinese,Malay land!,1,['land']
1388,1164,Race,Chinese,Not China!,1,[]
1389,1164,Race,Chinese,Speak Malay!,1,"['speak', 'malay']"
1390,1164,Race,Chinese,You Chinese Pig!,1,['fig']
1391,1165,Race,Indian,Fuck off to India and get raped,1,"['get', 'rapid']"
1392,1166,Race,Indian,Dirt blood,1,"['dirt', 'blood']"
1393,1167,Race,Chinese,Dog and cat eaters.,1,"['cat', 'eater']"
1394,1167,Race,Chinese,So disgusting.,1,['disgusting']
1395,1167,Race,Chinese,Go away.,1,['away']
1396,1168,Race,Malay,I don't want to work with Malay,1,"['want', 'work', 'malay']"
1397,1169,Race,Foreigner,Speaking English like you think you are white people?,1,"['speak', 'english', 'think', 'white', 'people']"
1398,1169,Race,Foreigner,This is malaysia not AMERICA,1,[]
1399,1170,Race,Malay,Oh Malay ah?,1,[]
1400,1170,Race,Malay,They damn cb.,1,['damn']
1401,1170,Race,Malay,They lie and cheat you of your money!,1,"['lie', 'cheat', 'money']"
1402,1170,Race,Malay,We CHINESE must stick up for one another.,1,"['stick', 'one']"
1403,1170,Race,Malay,I never let Malay people in my car.,1,"['never', 'let', 'malay', 'people', 'car']"
1404,1170,Race,Malay,I don't like them.,1,[]
1405,1171,Race,Malay,Malay dogs bark loud,1,"['malay', 'dog', 'bark', 'loud']"
1406,1172,Religion,Christianity,I will expel the Christians and will not leave anyone but Muslims.,1,"['christian', 'leave', 'muslim']"
1407,1173,Race,Indian,All Indian girls are prosistutes,1,"['indian', 'girl', 'prosistute']"
1408,1174,Religion,Multiple,If a kafir hits a muslim he must be killed,1,"['hair', 'hit', 'muslin', 'kill']"
1409,1175,Race,Malay,Malays are not human.,1,"['always', 'nonhuman']"
1410,1175,Race,Malay,They are beasts.,1,['beast']
1411,1176,Religion,Islam,All children of Muslims are animals,1,"['child', 'animal']"
1412,1177,Race,Chinese,You cannot marry Chinese.,1,['marry']
1413,1177,Race,Chinese,Malay should only marry Malay.,1,"['marry', 'malay']"
1414,1178,Religion,Multiple,Even the best of kafirs should be killed,1,"['even', 'good', 'hair', 'kill']"
1415,1179,Race,Indian,Indians prefer sex with cows,1,"['prefer', 'sex', 'cow']"
1416,1180,Religion,Hinduism,"If someone murders a flithy hindu, they should not be punished",1,"['murder', 'filthy', 'hindu', 'punish']"
1417,1181,Religion,Islam,Eating with a muslim is same thing as eating with a dog,1,"['eat', 'muslin', 'thing', 'eat', 'dog']"
1418,1182,Religion,Multiple,Every muslim who spill the blood of kafir is doing the same as making a sacrifice to God,1,"['spill', 'blood', 'hair', 'make', 'sacrifice']"
1419,1183,Religion,Christianity,Show no mercy to Christians.,1,"['mercilessness', 'christian']"
1420,1184,Religion,Hinduism,Murdering Hindus is like killing wild animals,1,"['murder', 'sinus', 'kill', 'wild', 'animal']"
1421,1185,Religion,Multiple,Muslims should be able to seize non-muslims property if they behave badly,1,"['able', 'seize', 'behave', 'badly']"
1422,1186,Race,Foreigner,"Jews love to steal, rob or take others' wives.",1,"['news', 'love', 'take', 'other', 'wife']"
