,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
1427,1204,Religion,Buddhism,It's perfectly fine for us to steal Buddhism belongings.,1,"['perfectly', 'fine', 'steal', 'buddhism', 'belongings']","[9, 0.5708051843736196]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1428,1204,Religion,Buddhism,They are not allowed to get mad at us anyways.,1,"['forbid', 'get', 'mad', 'anyways']","[15, 1.0]","['nonmuslims', 'ban', 'concerts', 'artistes', 'hedonistic', 'automatically', 'hijab', 'moral', 'nonmuslim', 'foreign']","['concerts foreign artistes automatically hedonistic', 'true tho concerts foreign artistes automatically hedonistic', 'moral education subject taken exclusively nonmuslims mandatory nonmuslims']"
1429,1205,Religion,Islam,Pisslam!,1,['pisslam'],"[7, 0.19787372364963102]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
1430,1206,Religion,Islam,"Muslims believe in ethnic cleansing, and they also believe an eye for an eye.",1,"['muslims', 'believe', 'ethnic', 'cleansing', 'believe', 'eye', 'eye']","[5, 0.7149286015618833]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1431,1207,Religion,Islam,Islam only believes in 1 way violence: they believe only Muslims can and “should” oppress and subjugate others.,1,"['islam', 'believes', 'way', 'violence', 'believe', 'muslims', 'oppress', 'subjugate', 'others']","[5, 0.67913760608147]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1432,1207,Religion,Islam,They don't believe in an eye for an eye they only believe they should dominate the world.,1,"['disbelieve', 'eye', 'eye', 'believe', 'dominate', 'world']","[6, 0.42615929428010124]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1433,1207,Religion,Islam,A barbaric cult,1,"['barbaric', 'cult']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1434,1208,Religion,Hinduism,Hinduism is worse than Nazism and Communism,1,"['hinduism', 'worse', 'nazism', 'communism']","[10, 0.5801887658288525]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1435,1209,Religion,Christianity,Destroy all the churches,1,"['destroy', 'churches']","[6, 0.9276561293226693]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1436,1210,Religion,Christianity,Christianity is an extermination cult,1,"['christianity', 'extermination', 'cult']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1437,1211,Religion,Christianity,Spitting on Christians should become Malay custom,1,"['spitting', 'christians', 'become', 'malay', 'custom']","[2, 0.984404530504562]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
1438,1212,Religion,Multiple,The Quran commands us to kill all non-believers,1,"['quran', 'commands', 'kill', 'nonbelievers']","[5, 0.7454621520286742]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1439,1213,Religion,Christianity,"You're now promoted to legitimate real life target, your life is forfeit",1,"['promoted', 'legitimate', 'real', 'life', 'target', 'life', 'forfeit']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1440,1214,Religion,Christianity,I do know that Christian priests are all pedophiles and love to sexualty assault kids,1,"['know', 'christian', 'priests', 'pedophiles', 'love', 'sexualty', 'assault', 'kids']","[22, 1.0]","['prophet', 'goat', 'pedophile', 'rape', 'fuck', 'know', 'sex', 'aisha', 'dophiles', 'descendant']","['prophet pedophile rapist', 'teachings pedophile prophet maybe', 'told muslims rape common friend live sex much rape goat cow']"
1441,1215,Religion,Buddhism,Buddhists suck.,1,"['buddhists', 'suck']","[9, 0.38655898387905246]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1442,1215,Religion,Buddhism,They don't have empathy and compassion in their hearts,1,"['lack', 'empathy', 'compassion', 'hearts']","[3, 0.919747215660135]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1443,1216,Religion,Hinduism,Hindus are just cult followers in a ponzi scheme,1,"['hindus', 'cult', 'followers', 'ponzi', 'scheme']","[10, 0.5462054379082101]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1444,1217,Religion,Hinduism,Hindus stole Buddhists buddhas and ideology and pretend to be a completely new religion,1,"['hindus', 'stole', 'buddhists', 'buddhas', 'ideology', 'pretend', 'completely', 'new', 'religion']","[9, 0.3279034868694982]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1445,1218,Religion,Buddhism,Buddhists just stole Hindu idols and called it their own.,1,"['buddhists', 'stole', 'hindu', 'idols', 'called']","[9, 0.25396052979460226]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1446,1219,Religion,Buddhism,we would ensure that buddha statue in Tumpat would not be left standing if Chinese continue to vote for PH,1,"['would', 'ensure', 'buddha', 'statue', 'tumpat', 'would', 'differ', 'left', 'standing', 'chinese', 'continue', 'vote', 'ph']","[14, 0.9358040172418531]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
1447,1220,Religion,Hinduism,Muslims can't live with Hindus!,1,"['muslims', 'dead', 'hindus']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1448,1221,Religion,Hinduism,Hindus love to lick boots of Israel.,1,"['hindus', 'love', 'lick', 'boots', 'israel']","[8, 0.6376889225999264]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
1449,1221,Religion,Hinduism,Dog religion dog breed.,1,"['dog', 'religion', 'dog', 'breed']","[18, 1.0]","['eat', 'halal', 'pork', 'dog', 'muslim', 'slaughter', 'alcohol', 'non', 'free', 'eating']","['muslim eat', 'long eat pork dont drink alcohol ok', 'radicalization islamisation muslim nons muslims odd eat table non muslims eat home cooked meal']"
1450,1222,Religion,Hinduism,hindus is the problems after all,1,"['hindus', 'problems']","[10, 0.4251746693336568]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1451,1223,Religion,Buddhism,Why should Muslims go visit buddhist temples when travelling in Bali?,1,"['muslims', 'go', 'visit', 'buddhist', 'temples', 'travelling', 'bali']","[14, 0.986075534243756]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
1452,1223,Religion,Buddhism,It will weaken our mind.,1,"['weaken', 'mind']","[3, 0.9514781906233581]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1453,1224,Religion,Islam,Islam fanaticism makes Muslim more idiotic,1,"['islam', 'fanaticism', 'makes', 'muslim', 'idiotic']","[5, 1.0]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1454,1225,Religion,Hinduism,Hindu cows have the audicity to come here,1,"['hindu', 'cows', 'audicity', 'come']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
1455,1226,Religion,Buddhism,These Chinese tokong should be mowed down instantly,1,"['chinese', 'tokong', 'mowed', 'instantly']","[4, 0.6587957042539265]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
1456,1227,Religion,Islam,Islam is not a religion.,1,"['islam', 'religion']","[5, 1.0]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1457,1227,Religion,Islam,It is the world largest dead cult.,1,"['world', 'largest', 'dead', 'cult']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1458,1228,Religion,Hinduism,I see him telling the truth.,1,"['see', 'telling', 'truth']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1459,1228,Religion,Hinduism,It is a cult.,1,['cult'],"[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1460,1228,Religion,Hinduism,Hindus are following Satan.,1,"['hindus', 'following', 'satan']","[10, 0.5429054782170151]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1461,1229,Religion,Buddhism,Buddhism is mental illness nothing else,1,"['buddhism', 'mental', 'illness', 'nothing', 'else']","[9, 0.2593341365756508]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1462,1230,Religion,Christianity,These Christian missionaries are Zionist agents,1,"['christian', 'missionaries', 'zionist', 'agents']","[8, 0.9350106076510399]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
1463,1231,Religion,Buddhism,Buddhist are deliberately ruining Islam in Malaysia for centuries,1,"['buddhist', 'deliberately', 'ruining', 'islam', 'malaysia', 'centuries']","[14, 1.0]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
1464,1232,Religion,Christianity,Trusting a Christian to be this disindegenious,1,"['trusting', 'christian', 'disindegenious']","[6, 0.9276561293226693]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1465,1233,Religion,Multiple,These kafir activists are Zionist puppets,1,"['kafir', 'activists', 'zionist', 'puppets']","[8, 0.5291765297977392]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
1466,1234,Religion,Multiple,"Buddhism, Hinduism and Christianity are ultimately demon worshipping",1,"['buddhism', 'hinduism', 'christianity', 'ultimately', 'demon', 'worshipping']","[10, 0.4139711737092185]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1467,1235,Religion,Multiple,You barking dog should all go to hell,1,"['barking', 'dog', 'go', 'hell']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1468,1236,Religion,Hinduism,Nobody accepts Hinduism ideology except doormats,1,"['nobody', 'accepts', 'hinduism', 'ideology', 'except', 'doormats']","[10, 0.49482675989983677]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1469,1237,Religion,Multiple,We need to boycott all these haram kafirs,1,"['need', 'boycott', 'haram', 'kafirs']","[16, 0.30776395940026985]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
1470,1238,Religion,Hinduism,Hinduism can just die already if they refuse to eat beef even while starving,1,"['hinduism', 'die', 'refuse', 'eat', 'beef', 'starving']","[17, 0.5540797080446078]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
1471,1239,Religion,Buddhism,"Just a friendly remainder that Buddhism is trash, doesn't even have real god",1,"['friendly', 'remainder', 'buddhism', 'trash', 'odd', 'real', 'god']","[9, 0.8624510772411828]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1472,1240,Religion,Christianity,Islam is not compatible with Satanic Christian values,1,"['islam', 'incompatible', 'satanic', 'christian', 'values']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1473,1241,Religion,Islam,NO ISLAM HAIL CHRISTIANITY,1,"['islam', 'hail', 'christianity']","[5, 0.7350567216102311]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1474,1242,Religion,Islam,Muslim & Sikh  = conflict.,1,"['muslim', 'sikh', 'conflict']","[5, 0.5936886674821006]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1475,1242,Religion,Islam,Muslim & Hindu  = conflict.,1,"['muslim', 'hindu', 'conflict']","[5, 0.5420387650234403]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1476,1242,Religion,Islam,Muslim & Jew  = conflict.,1,"['muslim', 'jew', 'conflict']","[5, 0.6313342954278021]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1477,1242,Religion,Islam,Muslim & Christian  = conflict.,1,"['muslim', 'christian', 'conflict']","[5, 0.7408145879854214]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1478,1242,Religion,Islam,Muslim & Buddhists = conflict.,1,"['muslim', 'buddhists', 'conflict']","[5, 0.5380815199827791]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1479,1242,Religion,Islam,Muslim & Muslim = conflict.,1,"['muslim', 'muslim', 'conflict']","[5, 0.7408145879854214]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1480,1242,Religion,Islam,"By any chance if abdul didn't got his reward of 72 hoors as promised, it'll be Prophet & Muslims = conflict.",1,"['chance', 'abdul', 'take_away', 'reward', 'hoors', 'promised', 'prophet', 'muslims', 'conflict']","[5, 0.6265500557734064]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1481,1243,Religion,Hinduism,Hinduism is an evil cult.,1,"['hinduism', 'evil', 'cult']","[10, 0.5897109182528045]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1482,1243,Religion,Hinduism,No matter you are malay or chinese they will indiscriminate kill you like they did in India,1,"['matter', 'malay', 'chinese', 'indiscriminate', 'kill', 'like', 'india']","[2, 0.584308832752482]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
1483,1244,Religion,Buddhism,Buddhists should die the same way rhe rohingyan die in Myanmar,1,"['buddhists', 'die', 'way', 'rhe', 'rohingyan', 'die', 'myanmar']","[14, 0.8169196480342829]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
1484,1245,Religion,Hinduism,Hindu is a scourge.,1,"['hindu', 'scourge']","[10, 1.0]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
1485,1245,Religion,Hinduism,Brutal and barbaric lifestyle.,1,"['brutal', 'barbaric', 'lifestyle']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1486,1246,Religion,Multiple,I am past the point of letting zionists and christians to be in prison only.,1,"['past', 'point', 'letting', 'zionists', 'christians', 'prison']","[8, 0.8816597882183786]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
1487,1247,Religion,Christianity,Kick Christianity out of Malaysia,1,"['kick', 'christianity', 'malaysia']","[14, 1.0]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
1488,1248,Religion,Islam,Islam is a poisonous ideology wrapping in religion,1,"['islam', 'poisonous', 'ideology', 'wrapping', 'religion']","[5, 0.9057557223176279]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1489,1249,Religion,Multiple,Behead those who say Islam is violent,1,"['behead', 'say', 'islam', 'violent']","[5, 1.0]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1490,1250,Religion,Islam,Islam is not religion of peace.,1,"['islam', 'religion', 'peace']","[5, 0.9556794853936351]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1491,1250,Religion,Islam,It's religion of war!,1,"['religion', 'war']","[6, 0.768844474561593]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1492,1251,Religion,Islam,"Islam sees women like trash, property to be maimed, killed beat",1,"['islam', 'sees', 'women', 'like', 'trash', 'property', 'maimed', 'killed', 'beat']","[5, 0.5985307976123732]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1493,1252,Religion,Buddhism,"Buddha is so unserious, just ohmmmmm under a tree and people think he's understanding everything",1,"['buddha', 'unserious', 'ohmmmmm', 'tree', 'people', 'think', 'understanding', 'everything']","[9, 1.0]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1494,1253,Religion,Buddhism,Buddha is actually in hell right now.,1,"['buddha', 'hell', 'right']","[9, 1.0]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
1495,1254,Religion,Multiple,Those who leave Islam will be suffered in hell,1,"['leave', 'islam', 'suffered', 'hell']","[5, 1.0]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1496,1255,Religion,Multiple,"Christianity and Islam ideology don't like women, they treat women as trash, this why I don't like them",1,"['christianity', 'islam', 'ideology', 'unalike', 'women', 'treat', 'women', 'trash', 'unalike']","[5, 0.6153660805995872]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1497,1256,Religion,Multiple,"Doesnt matter which religion ended up being real, islam or Christian.",1,"['doesnt', 'matter', 'religion', 'ended', 'real', 'islam', 'christian']","[5, 0.8823248101314567]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
1498,1256,Religion,Multiple,"You will be ended up in hell either way, you disgusting scumbag",1,"['ended', 'hell', 'either', 'way', 'disgusting', 'scumbag']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1499,1257,Religion,Multiple,A bad Muslim is still better than the best kafir,1,"['bad', 'muslim', 'better', 'best', 'kafir']","[16, 1.0]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
1500,1258,Religion,Islam,Your prophet is a pedophile rapist,1,"['prophet', 'pedophile', 'rapist']","[22, 1.0]","['prophet', 'goat', 'pedophile', 'rape', 'fuck', 'know', 'sex', 'aisha', 'dophiles', 'descendant']","['prophet pedophile rapist', 'teachings pedophile prophet maybe', 'told muslims rape common friend live sex much rape goat cow']"
1501,1259,Religion,Christianity,Christians are taught to be slave owners,1,"['christians', 'taught', 'slave', 'owners']","[6, 0.4861239546627547]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
1502,1260,Religion,Islam,lol I couldn't care less.,1,"['could', 'care', 'less']","[3, 0.8343624270592016]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
1503,1260,Religion,Islam,I don't desire to get on my knees and worship a pedophile,1,"['desire', 'get', 'knees', 'worship', 'pedophile']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
1504,1261,Religion,Islam,Fuck you and your racist pedophilic prophet,1,"['fuck', 'racist', 'pedophilic', 'prophet']","[22, 1.0]","['prophet', 'goat', 'pedophile', 'rape', 'fuck', 'know', 'sex', 'aisha', 'dophiles', 'descendant']","['prophet pedophile rapist', 'teachings pedophile prophet maybe', 'told muslims rape common friend live sex much rape goat cow']"
1505,1262,Religion,Multiple,A bad Muslim will eventually enter paradise after he's cleansed from sins but a kafir will remain in Jahanam for eternity .,1,"['bad', 'muslim', 'eventually', 'enter', 'paradise', 'cleansed', 'sins', 'kafir', 'remain', 'jahanam', 'eternity']","[16, 1.0]","['kafir', 'kafirs', 'best', 'muslim', 'eventually', 'kaffir', 'save', 'killed', 'worst', 'person']","['best kafirs killed', 'bad muslim eventually enter paradise cleansed sins kafir remain jahanam eternity', 'bad muslim better best kafir']"
1506,1263,Religion,Islam,Who told you Muslims don't rape..it very common my friend..they live sex so much they will even rape a goat or a cow,1,"['told', 'muslims', 'rape', 'common', 'friend', 'live', 'sex', 'much', 'rape', 'goat', 'cow']","[22, 0.986126858142997]","['prophet', 'goat', 'pedophile', 'rape', 'fuck', 'know', 'sex', 'aisha', 'dophiles', 'descendant']","['prophet pedophile rapist', 'teachings pedophile prophet maybe', 'told muslims rape common friend live sex much rape goat cow']"
