,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
1365,1159,Race,Foreigner,God will destroy the Jew race,1,"['god', 'destroy', 'jew', 'race']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
1366,1160,Race,Malay,"Malays act like terrorists, no wonder they are so primitive",1,"['malays', 'act', 'like', 'terrorists', 'wonder', 'primitive']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
1367,1161,Race,Indian,We must cut off these pajeets' heads,1,"['must', 'cut', 'pajeets', 'heads']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1368,1162,Race,Malay,May god show no mercy to Malays,1,"['may', 'god', 'show', 'mercilessness', 'malays']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
1369,1163,Religion,Islam,Lots of monkeys appear during Ramadan,1,"['lots', 'monkeys', 'appear', 'ramadan']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
1370,1164,Race,Chinese,This is Malaysia!,1,['malaysia'],"[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
1371,1164,Race,Chinese,Malay land!,1,"['malay', 'land']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
1372,1164,Race,Chinese,Not China!,1,['china'],"[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
1373,1164,Race,Chinese,Speak Malay!,1,"['speak', 'malay']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
1374,1164,Race,Chinese,You Chinese Pig!,1,"['chinese', 'pig']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
1375,1165,Race,Indian,Fuck off to India and get raped,1,"['fuck', 'india', 'get', 'raped']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
1376,1166,Race,Indian,Dirt blood,1,"['dirt', 'blood']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1377,1167,Race,Chinese,Dog and cat eaters.,1,"['dog', 'cat', 'eaters']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
1378,1167,Race,Chinese,So disgusting.,1,['disgusting'],"[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1379,1167,Race,Chinese,Go away.,1,"['go', 'away']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
1380,1168,Race,Malay,I don't want to work with Malay,1,"['want', 'work', 'malay']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
1381,1169,Race,Foreigner,Speaking English like you think you are white people?,1,"['speaking', 'english', 'like', 'think', 'white', 'people']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1382,1169,Race,Foreigner,This is malaysia not AMERICA,1,"['malaysia', 'america']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
1383,1170,Race,Malay,Oh Malay ah?,1,"['oh', 'malay', 'ah']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
1384,1170,Race,Malay,They damn cb.,1,"['damn', 'cb']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
1385,1170,Race,Malay,They lie and cheat you of your money!,1,"['lie', 'cheat', 'money']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
1386,1170,Race,Malay,We CHINESE must stick up for one another.,1,"['chinese', 'must', 'stick', 'one', 'another']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
1387,1170,Race,Malay,I never let Malay people in my car.,1,"['forbid', 'malay', 'people', 'car']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
1388,1170,Race,Malay,I don't like them.,1,['unalike'],"[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
1389,1171,Race,Malay,Malay dogs bark loud,1,"['malay', 'dogs', 'bark', 'loud']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1390,1172,Religion,Christianity,I will expel the Christians and will not leave anyone but Muslims.,1,"['expel', 'christians', 'disinherit', 'anyone', 'muslims']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
1391,1173,Race,Indian,All Indian girls are prosistutes,1,"['indian', 'girls', 'prosistutes']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
1392,1174,Religion,Multiple,If a kafir hits a muslim he must be killed,1,"['kafir', 'hits', 'muslim', 'must', 'killed']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1393,1175,Race,Malay,Malays are not human.,1,"['malays', 'nonhuman']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
1394,1175,Race,Malay,They are beasts.,1,['beasts'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
1395,1176,Religion,Islam,All children of Muslims are animals,1,"['children', 'muslims', 'animals']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
1396,1177,Race,Chinese,You cannot marry Chinese.,1,"['marry', 'chinese']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
1397,1177,Race,Chinese,Malay should only marry Malay.,1,"['malay', 'marry', 'malay']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
1398,1178,Religion,Multiple,Even the best of kafirs should be killed,1,"['best', 'kafirs', 'killed']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
1399,1179,Race,Indian,Indians prefer sex with cows,1,"['indians', 'prefer', 'sex', 'cows']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
1400,1180,Religion,Hinduism,"If someone murders a flithy hindu, they should not be punished",1,"['someone', 'murders', 'flithy', 'hindu', 'differ', 'punished']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
1401,1181,Religion,Islam,Eating with a muslim is same thing as eating with a dog,1,"['eating', 'muslim', 'thing', 'eating', 'dog']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
1402,1182,Religion,Multiple,Every muslim who spill the blood of kafir is doing the same as making a sacrifice to God,1,"['every', 'muslim', 'spill', 'blood', 'kafir', 'making', 'sacrifice', 'god']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1403,1183,Religion,Christianity,Show no mercy to Christians.,1,"['show', 'mercilessness', 'christians']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
1404,1184,Religion,Hinduism,Murdering Hindus is like killing wild animals,1,"['murdering', 'hindus', 'like', 'killing', 'wild', 'animals']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
1405,1185,Religion,Multiple,Muslims should be able to seize non-muslims property if they behave badly,1,"['muslims', 'able', 'seize', 'nonmuslims', 'property', 'behave', 'badly']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1406,1186,Race,Foreigner,"Jews love to steal, rob or take others' wives.",1,"['jews', 'love', 'steal', 'rob', 'take', 'others', 'wives']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
1407,1187,Religion,Islam,Muslim is animal in human form,1,"['muslim', 'animal', 'human', 'form']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
1408,1188,Religion,Islam,Islam is dumb.,1,"['islam', 'dumb']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1409,1188,Religion,Islam,They circumcize and worship something perverse,1,"['circumcize', 'worship', 'something', 'perverse']","[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
1410,1189,Religion,Islam,Muslims love to rewrite their history and claim that others are demons when they themselves are the real demons,1,"['muslims', 'love', 'rewrite', 'history', 'claim', 'others', 'demons', 'real', 'demons']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
1411,1190,Religion,Christianity,The godly thing for a muslim thing to do is to kill Christian idolaters,1,"['godly', 'thing', 'muslim', 'thing', 'kill', 'christian', 'idolaters']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1412,1191,Religion,Multiple,"We, as Muslims, must hate the disbelievers greatly, consider them as enemies, and understand that they are our enemies no matter how they try to appear friendly or approach us.",1,"['muslims', 'must', 'hate', 'disbelievers', 'greatly', 'consider', 'enemies', 'understand', 'enemies', 'matter', 'try', 'appear', 'friendly', 'approach']","[0, 149, 1670, 760, 615, 530, 96, 796, 2989, 792]"
1413,1191,Religion,Multiple,"They are truly our enemies, enemies of Allah, enemies of the angels, enemies of the prophets, and enemies of the righteous.",1,"['truly', 'enemies', 'enemies', 'allah', 'enemies', 'angels', 'enemies', 'prophets', 'enemies', 'righteous']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
1414,1191,Religion,Multiple,They are enemies even if they pretend to be friends.,1,"['enemies', 'pretend', 'friends']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
1415,1192,Religion,Multiple,"Expel the Buddhists, Hindus and Christians from Malaysia so that there will be none but Muslims",1,"['expel', 'buddhists', 'hindus', 'christians', 'malaysia', 'none', 'muslims']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
1416,1193,Religion,Islam,Muslims love to wage wars on others.,1,"['muslims', 'love', 'wage', 'wars', 'others']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
1417,1194,Religion,Christianity,Christians are such a brainlet monkey,1,"['christians', 'brainlet', 'monkey']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
1418,1195,Religion,Christianity,"Well, not a surprise, you evil creatures have no morals or conscience to begin with.",1,"['well', 'surprise', 'evil', 'creatures', 'morals', 'conscience', 'begin']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
1419,1196,Religion,Islam,This is the mindset of Islamcucks who defend p*dophiles,1,"['mindset', 'islamcucks', 'defend', 'p', 'dophiles']","[909, 1499, 1717, 1721, 743, 47, 143, 0, 487, 1021]"
1420,1197,Religion,Islam,islam = cancer,1,"['islam', 'cancer']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1421,1198,Religion,Christianity,Jesus is the son of a whore,1,"['jesus', 'son', 'whore']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1422,1199,Religion,Christianity,Jesus is a false messiah,1,"['jesus', 'false', 'messiah']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
1423,1200,Religion,Christianity,Jesus is in hell right now boiing in a pit of hot excrement and semen,1,"['jesus', 'hell', 'right', 'boiing', 'pit', 'hot', 'excrement', 'semen']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
1424,1201,Race,Indian,I like Indians,0,"['like', 'indians']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
1425,1202,Religion,Hinduism,Every single aspect of Hinduism is satanic!,1,"['every', 'single', 'aspect', 'hinduism', 'satanic']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
1426,1203,Religion,Christianity,We should destroy the Bible in solaridity for Palestine,1,"['destroy', 'bible', 'solaridity', 'palestine']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1427,1204,Religion,Buddhism,It's perfectly fine for us to steal Buddhism belongings.,1,"['perfectly', 'fine', 'steal', 'buddhism', 'belongings']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
1428,1204,Religion,Buddhism,They are not allowed to get mad at us anyways.,1,"['forbid', 'get', 'mad', 'anyways']","[696, 1209, 1032, 146, 108, 283, 1574, 1210, 1211, 86]"
1429,1205,Religion,Islam,Pisslam!,1,['pisslam'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
1430,1206,Religion,Islam,"Muslims believe in ethnic cleansing, and they also believe an eye for an eye.",1,"['muslims', 'believe', 'ethnic', 'cleansing', 'believe', 'eye', 'eye']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
1431,1207,Religion,Islam,Islam only believes in 1 way violence: they believe only Muslims can and “should” oppress and subjugate others.,1,"['islam', 'believes', 'way', 'violence', 'believe', 'muslims', 'oppress', 'subjugate', 'others']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
1432,1207,Religion,Islam,They don't believe in an eye for an eye they only believe they should dominate the world.,1,"['disbelieve', 'eye', 'eye', 'believe', 'dominate', 'world']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
1433,1207,Religion,Islam,A barbaric cult,1,"['barbaric', 'cult']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
1434,1208,Religion,Hinduism,Hinduism is worse than Nazism and Communism,1,"['hinduism', 'worse', 'nazism', 'communism']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1435,1209,Religion,Christianity,Destroy all the churches,1,"['destroy', 'churches']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1436,1210,Religion,Christianity,Christianity is an extermination cult,1,"['christianity', 'extermination', 'cult']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
1437,1211,Religion,Christianity,Spitting on Christians should become Malay custom,1,"['spitting', 'christians', 'become', 'malay', 'custom']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
1438,1212,Religion,Multiple,The Quran commands us to kill all non-believers,1,"['quran', 'commands', 'kill', 'nonbelievers']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1439,1213,Religion,Christianity,"You're now promoted to legitimate real life target, your life is forfeit",1,"['promoted', 'legitimate', 'real', 'life', 'target', 'life', 'forfeit']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
1440,1214,Religion,Christianity,I do know that Christian priests are all pedophiles and love to sexualty assault kids,1,"['know', 'christian', 'priests', 'pedophiles', 'love', 'sexualty', 'assault', 'kids']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
1441,1215,Religion,Buddhism,Buddhists suck.,1,"['buddhists', 'suck']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
1442,1215,Religion,Buddhism,They don't have empathy and compassion in their hearts,1,"['lack', 'empathy', 'compassion', 'hearts']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
1443,1216,Religion,Hinduism,Hindus are just cult followers in a ponzi scheme,1,"['hindus', 'cult', 'followers', 'ponzi', 'scheme']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
1444,1217,Religion,Hinduism,Hindus stole Buddhists buddhas and ideology and pretend to be a completely new religion,1,"['hindus', 'stole', 'buddhists', 'buddhas', 'ideology', 'pretend', 'completely', 'new', 'religion']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
1445,1218,Religion,Buddhism,Buddhists just stole Hindu idols and called it their own.,1,"['buddhists', 'stole', 'hindu', 'idols', 'called']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
1446,1219,Religion,Buddhism,we would ensure that buddha statue in Tumpat would not be left standing if Chinese continue to vote for PH,1,"['would', 'ensure', 'buddha', 'statue', 'tumpat', 'would', 'differ', 'left', 'standing', 'chinese', 'continue', 'vote', 'ph']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
1447,1220,Religion,Hinduism,Muslims can't live with Hindus!,1,"['muslims', 'dead', 'hindus']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
1448,1221,Religion,Hinduism,Hindus love to lick boots of Israel.,1,"['hindus', 'love', 'lick', 'boots', 'israel']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
1449,1221,Religion,Hinduism,Dog religion dog breed.,1,"['dog', 'religion', 'dog', 'breed']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
1450,1222,Religion,Hinduism,hindus is the problems after all,1,"['hindus', 'problems']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
1451,1223,Religion,Buddhism,Why should Muslims go visit buddhist temples when travelling in Bali?,1,"['muslims', 'go', 'visit', 'buddhist', 'temples', 'travelling', 'bali']","[340, 1169, 27, 919, 1166, 17, 28, 845, 103, 770]"
1452,1223,Religion,Buddhism,It will weaken our mind.,1,"['weaken', 'mind']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
1453,1224,Religion,Islam,Islam fanaticism makes Muslim more idiotic,1,"['islam', 'fanaticism', 'makes', 'muslim', 'idiotic']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
1454,1225,Religion,Hinduism,Hindu cows have the audicity to come here,1,"['hindu', 'cows', 'audicity', 'come']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
1455,1226,Religion,Buddhism,These Chinese tokong should be mowed down instantly,1,"['chinese', 'tokong', 'mowed', 'instantly']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
1456,1227,Religion,Islam,Islam is not a religion.,1,"['islam', 'religion']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1457,1227,Religion,Islam,It is the world largest dead cult.,1,"['world', 'largest', 'dead', 'cult']","[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
1458,1228,Religion,Hinduism,I see him telling the truth.,1,"['see', 'telling', 'truth']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
1459,1228,Religion,Hinduism,It is a cult.,1,['cult'],"[682, 2644, 1031, 17, 2065, 1633, 3, 244, 1291, 1345]"
1460,1228,Religion,Hinduism,Hindus are following Satan.,1,"['hindus', 'following', 'satan']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
1461,1229,Religion,Buddhism,Buddhism is mental illness nothing else,1,"['buddhism', 'mental', 'illness', 'nothing', 'else']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
1462,1230,Religion,Christianity,These Christian missionaries are Zionist agents,1,"['christian', 'missionaries', 'zionist', 'agents']","[443, 342, 336, 1433, 1273, 205, 2589, 1056, 2116, 1432]"
1463,1231,Religion,Buddhism,Buddhist are deliberately ruining Islam in Malaysia for centuries,1,"['buddhist', 'deliberately', 'ruining', 'islam', 'malaysia', 'centuries']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
1464,1232,Religion,Christianity,Trusting a Christian to be this disindegenious,1,"['trusting', 'christian', 'disindegenious']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
1465,1233,Religion,Multiple,These kafir activists are Zionist puppets,1,"['kafir', 'activists', 'zionist', 'puppets']","[443, 342, 336, 1433, 1273, 205, 2589, 1056, 2116, 1432]"
1466,1234,Religion,Multiple,"Buddhism, Hinduism and Christianity are ultimately demon worshipping",1,"['buddhism', 'hinduism', 'christianity', 'ultimately', 'demon', 'worshipping']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1467,1235,Religion,Multiple,You barking dog should all go to hell,1,"['barking', 'dog', 'go', 'hell']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
1468,1236,Religion,Hinduism,Nobody accepts Hinduism ideology except doormats,1,"['nobody', 'accepts', 'hinduism', 'ideology', 'except', 'doormats']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1469,1237,Religion,Multiple,We need to boycott all these haram kafirs,1,"['need', 'boycott', 'haram', 'kafirs']","[1685, 1895, 121, 165, 1091, 1711, 2919, 557, 745, 2895]"
1470,1238,Religion,Hinduism,Hinduism can just die already if they refuse to eat beef even while starving,1,"['hinduism', 'die', 'refuse', 'eat', 'beef', 'starving']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1471,1239,Religion,Buddhism,"Just a friendly remainder that Buddhism is trash, doesn't even have real god",1,"['friendly', 'remainder', 'buddhism', 'trash', 'odd', 'real', 'god']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
1472,1240,Religion,Christianity,Islam is not compatible with Satanic Christian values,1,"['islam', 'incompatible', 'satanic', 'christian', 'values']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
1473,1241,Religion,Islam,NO ISLAM HAIL CHRISTIANITY,1,"['islam', 'hail', 'christianity']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1474,1242,Religion,Islam,Muslim & Sikh  = conflict.,1,"['muslim', 'sikh', 'conflict']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1475,1242,Religion,Islam,Muslim & Hindu  = conflict.,1,"['muslim', 'hindu', 'conflict']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
1476,1242,Religion,Islam,Muslim & Jew  = conflict.,1,"['muslim', 'jew', 'conflict']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1477,1242,Religion,Islam,Muslim & Christian  = conflict.,1,"['muslim', 'christian', 'conflict']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1478,1242,Religion,Islam,Muslim & Buddhists = conflict.,1,"['muslim', 'buddhists', 'conflict']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1479,1242,Religion,Islam,Muslim & Muslim = conflict.,1,"['muslim', 'muslim', 'conflict']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
1480,1242,Religion,Islam,"By any chance if abdul didn't got his reward of 72 hoors as promised, it'll be Prophet & Muslims = conflict.",1,"['chance', 'abdul', 'take_away', 'reward', 'hoors', 'promised', 'prophet', 'muslims', 'conflict']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
1481,1243,Religion,Hinduism,Hinduism is an evil cult.,1,"['hinduism', 'evil', 'cult']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
1482,1243,Religion,Hinduism,No matter you are malay or chinese they will indiscriminate kill you like they did in India,1,"['matter', 'malay', 'chinese', 'indiscriminate', 'kill', 'like', 'india']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
1483,1244,Religion,Buddhism,Buddhists should die the same way rhe rohingyan die in Myanmar,1,"['buddhists', 'die', 'way', 'rhe', 'rohingyan', 'die', 'myanmar']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
1484,1245,Religion,Hinduism,Hindu is a scourge.,1,"['hindu', 'scourge']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
1485,1245,Religion,Hinduism,Brutal and barbaric lifestyle.,1,"['brutal', 'barbaric', 'lifestyle']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
1486,1246,Religion,Multiple,I am past the point of letting zionists and christians to be in prison only.,1,"['past', 'point', 'letting', 'zionists', 'christians', 'prison']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
1487,1247,Religion,Christianity,Kick Christianity out of Malaysia,1,"['kick', 'christianity', 'malaysia']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
1488,1248,Religion,Islam,Islam is a poisonous ideology wrapping in religion,1,"['islam', 'poisonous', 'ideology', 'wrapping', 'religion']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1489,1249,Religion,Multiple,Behead those who say Islam is violent,1,"['behead', 'say', 'islam', 'violent']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1490,1250,Religion,Islam,Islam is not religion of peace.,1,"['islam', 'religion', 'peace']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1491,1250,Religion,Islam,It's religion of war!,1,"['religion', 'war']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1492,1251,Religion,Islam,"Islam sees women like trash, property to be maimed, killed beat",1,"['islam', 'sees', 'women', 'like', 'trash', 'property', 'maimed', 'killed', 'beat']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
1493,1252,Religion,Buddhism,"Buddha is so unserious, just ohmmmmm under a tree and people think he's understanding everything",1,"['buddha', 'unserious', 'ohmmmmm', 'tree', 'people', 'think', 'understanding', 'everything']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
1494,1253,Religion,Buddhism,Buddha is actually in hell right now.,1,"['buddha', 'hell', 'right']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
1495,1254,Religion,Multiple,Those who leave Islam will be suffered in hell,1,"['leave', 'islam', 'suffered', 'hell']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1496,1255,Religion,Multiple,"Christianity and Islam ideology don't like women, they treat women as trash, this why I don't like them",1,"['christianity', 'islam', 'ideology', 'unalike', 'women', 'treat', 'women', 'trash', 'unalike']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
1497,1256,Religion,Multiple,"Doesnt matter which religion ended up being real, islam or Christian.",1,"['doesnt', 'matter', 'religion', 'ended', 'real', 'islam', 'christian']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
1498,1256,Religion,Multiple,"You will be ended up in hell either way, you disgusting scumbag",1,"['ended', 'hell', 'either', 'way', 'disgusting', 'scumbag']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
1499,1257,Religion,Multiple,A bad Muslim is still better than the best kafir,1,"['bad', 'muslim', 'better', 'best', 'kafir']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
1500,1258,Religion,Islam,Your prophet is a pedophile rapist,1,"['prophet', 'pedophile', 'rapist']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1501,1259,Religion,Christianity,Christians are taught to be slave owners,1,"['christians', 'taught', 'slave', 'owners']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
1502,1260,Religion,Islam,lol I couldn't care less.,1,"['could', 'care', 'less']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
1503,1260,Religion,Islam,I don't desire to get on my knees and worship a pedophile,1,"['desire', 'get', 'knees', 'worship', 'pedophile']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
1504,1261,Religion,Islam,Fuck you and your racist pedophilic prophet,1,"['fuck', 'racist', 'pedophilic', 'prophet']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
1505,1262,Religion,Multiple,A bad Muslim will eventually enter paradise after he's cleansed from sins but a kafir will remain in Jahanam for eternity .,1,"['bad', 'muslim', 'eventually', 'enter', 'paradise', 'cleansed', 'sins', 'kafir', 'remain', 'jahanam', 'eternity']","[610, 942, 588, 204, 1062, 375, 2060, 57, 234, 902]"
1506,1263,Religion,Islam,Who told you Muslims don't rape..it very common my friend..they live sex so much they will even rape a goat or a cow,1,"['told', 'muslims', 'rape', 'common', 'friend', 'live', 'sex', 'much', 'rape', 'goat', 'cow']","[1248, 1113, 897, 3, 923, 1013, 17, 1832, 1274, 3101]"
1507,1264,Religion,Christianity,Destroy all Christians that make such a slander against Islam,1,"['destroy', 'christians', 'make', 'slander', 'islam']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
1508,1265,Religion,Multiple,"by raping you, I am drawing closer to God.",1,"['raping', 'drawing', 'closer', 'god']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
1509,1265,Religion,Multiple,It's my religious duty to rape non MusIims.,1,"['religious', 'duty', 'rape', 'non', 'musiims']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
1510,1265,Religion,Multiple,You are a Kaffir Yezidi girl and don't have any rights.,1,"['kaffir', 'yezidi', 'girl', 'lack', 'rights']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
1511,1266,Religion,Hinduism,We should ban music.,1,"['ban', 'music']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
1512,1266,Religion,Hinduism,No music to degenerate Hindus!,1,"['music', 'degenerate', 'hindus']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
